0,0,0
9.62535915997636e-13,-2.31086818381532e-07,8.82736025146324e-12
6.69121315232252e-12,-1.57453500028895e-06,6.61651480344807e-11
1.81672147046876e-11,-4.15638756460376e-06,1.89897952024944e-10
2.84385211085756e-11,-7.36088081510254e-06,3.14261219354084e-10
2.77152271843573e-11,-1.03202139954349e-05,3.37835436404883e-10
1.27239536329364e-11,-1.22416665942545e-05,2.35216436865005e-10
-1.72032225775702e-11,-1.25605633313152e-05,2.03536966036548e-11
-5.62319172330327e-11,-1.09686315056573e-05,-2.68572090813455e-10
-9.80734825839481e-11,-7.3713468880655e-06,-5.91965883724674e-10
-1.3802743084283e-10,-1.8150853937844e-06,-9.22146548014763e-10
-1.75490380058119e-10,5.58806942181086e-06,-1.24495228589835e-09
-2.11530486880068e-10,1.4719750119269e-05,-1.56356745349907e-09
-2.4755409797161e-10,2.5490556358444e-05,-1.87826624014572e-09
-2.85036918675048e-10,3.78515012909651e-05,-2.18881628695703e-09
-3.23614896927104e-10,5.17881734751727e-05,-2.48546293366298e-09
-3.60565191804618e-10,6.73068114719232e-05,-2.74527117604611e-09
-3.91342916305439e-10,8.44199165479977e-05,-2.94733168368756e-09
-4.12414703627407e-10,0.0001031362873304,-3.07599238889795e-09
-4.21984345536322e-10,0.000123456312887381,-3.13070785754244e-09
-4.20665561817408e-10,0.000145371584147474,-3.12476732067742e-09
-4.11886127767855e-10,0.000168866832774966,-3.09404867801909e-09
-3.98906073559371e-10,0.000193922665353553,-3.06559974289896e-09
-3.85064046541398e-10,0.00022051790799649,-3.05160153041834e-09
-3.73370174407129e-10,0.000248631120488644,-3.04818830457646e-09
-3.64494485257387e-10,0.000278241454206407,-3.03912118946289e-09
-3.57863721965181e-10,0.00030932893194994,-3.01046094311333e-09
-3.50817021861463e-10,0.000341874436410648,-2.95334999891587e-09
-3.40795821491939e-10,0.000375859540388857,-2.86249562177482e-09
-3.26904750027968e-10,0.000411266391526391,-2.7378108832875e-09
-3.09220001089983e-10,0.00044807750471914,-2.58748749261549e-09
-2.89562822605544e-10,0.000486275609469665,-2.42836120549422e-09
-2.69287480956104e-10,0.00052584363139438,-2.27472192238938e-09
-2.50113827781278e-10,0.000566764696638597,-2.13420902758356e-09
-2.34646144176984e-10,0.000609022127285204,-2.01164036290201e-09
